STOCK_SYMBOL,MATCH_TIME,close,highest,lowest,Quantity,open
0050,93000000000,84.15,84.15,83.9,638,83.9
0050,100000000000,84.15,84.2,84.0,448,84.15
0050,103000000000,84.35,84.35,84.1,309,84.15
0050,110000000000,84.5,84.55,84.35,472,84.35
0050,113000000000,84.55,84.6,84.45,798,84.5
0050,120000000000,84.6,84.6,84.45,895,84.55
0050,123000000000,84.45,84.65,84.45,542,84.6
0050,130000000000,84.45,84.5,84.4,305,84.5
0050,133000000000,84.45,84.55,84.4,418,84.5
0050,133000000000,84.55,84.55,84.55,151,84.55
0051,93000000000,33.07,33.1,33.06,7,33.06
0051,100000000000,33.11,33.11,33.11,1,33.11
0051,103000000000,33.11,33.11,33.11,1,33.11
0051,110000000000,33.2,33.2,33.2,1,33.2
0051,120000000000,33.24,33.24,33.24,1,33.24
0051,123000000000,33.33,33.33,33.33,1,33.33
0051,133000000000,33.33,33.33,33.33,1,33.33
0052,93000000000,53.15,53.15,53.15,1,53.15
0052,113000000000,53.3,53.3,53.3,100,53.3
0053,100000000000,36.05,36.05,36.05,1,36.05
0053,103000000000,36.14,36.14,36.12,2,36.12
0053,133000000000,36.14,36.14,36.14,1,36.14
0054,100000000000,24.26,24.26,24.26,1,24.26
0054,130000000000,24.3,24.3,24.3,1,24.3
0054,133000000000,24.27,24.28,24.27,30,24.28
0055,93000000000,17.98,17.98,17.98,1,17.98
0055,100000000000,17.98,17.98,17.98,6,17.98
0055,103000000000,17.98,17.98,17.98,2,17.98
0055,113000000000,18.0,18.0,17.97,3,17.97
0055,133000000000,18.0,18.0,17.99,16,17.99
0055,133000000000,18.01,18.01,18.01,3,18.01
0056,93000000000,27.17,27.2,27.15,157,27.19
0056,100000000000,27.18,27.2,27.18,74,27.18
0056,103000000000,27.2,27.2,27.19,69,27.19
0056,110000000000,27.2,27.22,27.2,104,27.21
0056,113000000000,27.23,27.23,27.2,33,27.21
0056,120000000000,27.23,27.23,27.22,25,27.22
0056,123000000000,27.21,27.23,27.2,137,27.23
0056,130000000000,27.23,27.23,27.22,46,27.22
0056,133000000000,27.23,27.23,27.22,28,27.23
0056,133000000000,27.23,27.23,27.23,6,27.23
0057,100000000000,51.15,51.15,51.15,1,51.15
0057,110000000000,51.5,51.5,51.5,1,51.5
0057,113000000000,51.4,51.4,51.4,20,51.4
0058,93000000000,48.04,48.04,48.04,1,48.04
0058,100000000000,48.16,48.16,48.16,2,48.16
0058,113000000000,48.3,48.3,48.3,20,48.3
0058,130000000000,48.52,48.52,48.35,102,48.35
0059,100000000000,43.68,43.68,43.68,1,43.68
0059,133000000000,43.69,43.69,43.69,1,43.69
0061,93000000000,15.71,15.75,15.64,147,15.65
0061,100000000000,15.78,15.81,15.69,609,15.71
0061,103000000000,15.79,15.79,15.73,34,15.78
0061,110000000000,15.89,15.91,15.78,289,15.78
0061,113000000000,15.92,15.92,15.88,153,15.89
0061,120000000000,15.91,15.91,15.9,24,15.9
0061,123000000000,15.91,15.91,15.9,35,15.91
